abbreviated wireworm,Hypnoidus abbreviatus (Say)
acacia psyllid,Acizzia uncatoides (Ferris & Klyver)
achemon sphinx,Eumorpha achemon (Drury)
acuminate scale,Kilifia acuminata (Signoret)
acute-angled fungus beetle,Cryptophagus acutangulus Gyllenhal
aerial yellowjacket,Dolichovespula arenaria (Fabricius)
African fig fly,Zaprionus indianus Gupta
African mole cricket,Gryllotalpa africana Palisot de Beauvois
ailanthus webworm,Atteva punctella (Cramer)
alder bark beetle,Alniphagus aspericollis (LeConte)
alder flea beetle,Altica ambiens (LeConte)
alder spittlebug,Clastoptera obtusa (Say)
alfalfa blotch leafminer,Agromyza frontella (Rondani)
alfalfa caterpillar,Colias eurytheme Boisduval
alfalfa gall midge,Asphondylia websteri Felt
alfalfa leafcutting bee,Megachile rotundata (Fabricius)
alfalfa leaftier,Dichomeris acuminata (Staudinger)
alfalfa looper,Autographa californica (Speyer)
alfalfa plant bug,Adelphocoris lineolatus (Goeze)
alfalfa seed chalcid,Bruchophagus roddi (Gussakovsky)
alfalfa snout beetle,Otiorhynchus ligustici (Linnaeus)
alfalfa webworm,Loxostege cereralis (Zeller)
alfalfa weevil,Hypera postica (Gyllenhal)
alkali bee,Nomia melanderi Cockerell
Allard’s ground cricket,Allonemobius allardi (Alexander & Thomas 1959)
Allard's tree cricket,Oecanthus allardi T. Walker and Gurney
Allegheny mound ant,Formica exsectoides Forel
allium leafminer,Phytomyza gymnostoma (Loew)
almond moth,Cadra cautella (Walker)
aloe mite,Aceria aloinis (Keifer)
American aspen beetle,Gonioctena americana (Schaeffer)
American black flour beetle,Tribolium audax Halstead
American bumble bee,Bombus pensylvanicus (De Geer)
American burying beetle,Nicrophorus americanus Olivier
American cockroach,Periplaneta americana (Linnaeus)
American dagger moth,Acronicta americana (Harris)
American dog tick,Dermacentor variabilis (Say)
American grasshopper,Schistocerca americana (Drury)
American hornet moth,Sesia tibialis (Harris)
American house dust mite,Dermatophagoides farinae Hughes
American palm cixiid,Myndus crudus Van Duzee
American plum borer,Euzophera semifuneralis (Walker)
American serpentine leafminer,Liriomyza trifolii (Burgess)
American spider beetle,Mezium americanum (Castelnau)
Angora goat biting louse,Bovicola crassipes (Rudow)
Angoumois grain moth,Sitotroga cerealella (Olivier)
angraecum scale,Conchaspis angraeci Cockerell
angularwinged katydid,Microcentrum retinerve (Burmeister)
angulate leafhopper,Acinopterus angulatus Lawson
annual bluegrass weevil,Listronotus maculicollis (Kirby)
anthurium whitefly,Aleurotulus anthuricola Nakahara
apple aphid,Aphis pomi De Geer
apple bark borer,Synanthedon pyri (Harris)
apple barkminer,Marmara elotella (Busck)
apple blotch leafminer,Phyllonorycter crataegella (Clemens)
apple curculio,Anthonomus quadrigibbus Say
apple flea weevil,Rhynchaenus pallicornis (Say)
apple fruit moth,Argyresthia conjugella Zeller
apple fruitminer,Marmara pomonella Busck
apple grain aphid,Rhopalosiphum oxyacanthae (Schrank)
