"id","name","Common Name","edible or poisonous?"
2101,"background","Common Name","edible or poisonous?"
0,"Betula lenta","Sweet Birch","edible sap, leaves, young shoots"
1,"Urtica dioica","Common Nettle","edible plant"
2,"Amorpha fruticosa","False Indigo bush","not edible"
3,"Ricinus communis","Castor Bean","Poisonous"
4,"Penstemon digitalis","Foxglove beardtongue","poisonous"
5,"Metrosideros excelsa","Pohutukawa","edible nectar from flowers"
6,"Asplenium bulbiferum","Mother spleenwort","edible fronds"
7,"Hydrocotyle bonariensis","Largeleaf pennywort","edible leaves"
8,"Castanea dentata","American Chestnut","edible nut"
9,"Callicarpa americana","Common Name","edible or poisonous?"
10,"Eichhornia crassipes","Common Name","edible or poisonous?"
11,"Calochortus tiburonensis","Tiburon mariposa lily","edible roots"
12,"Drosera spatulata","Common Name","edible or poisonous?"
13,"Fagus grandifolia","American beech","edible nuts"
14,"Daphne laureola","Common Name","edible or poisonous?"
15,"Erysimum franciscanum","Common Name","edible or poisonous?"
16,"Schinus molle","Common Name","edible or poisonous?"
17,"Larix laricina","Tamarack","edible sap and young shoots"
18,"Eupatorium capillifolium","Common Name","edible or poisonous?"
19,"Stenocereus thurberi","Common Name","edible or poisonous?"
20,"Hymenopappus scabiosaeus","Common Name","edible or poisonous?"
21,"Helianthus tuberosus","Jerusalem Artichoke","edible root"
22,"Claytonia virginica","Virginia Spring Beauty","edible roots"
23,"Geum triflorum","Common Name","edible or poisonous?"
24,"Cenchrus ciliaris","Common Name","edible or poisonous?"
25,"Lobelia siphilitica","Common Name","edible or poisonous?"
26,"Podophyllum peltatum","Common Name","edible or poisonous?"
27,"Calystegia sepium","Common Name","edible or poisonous?"
28,"Verbesina alternifolia","Common Name","edible or poisonous?"
29,"Cypripedium parviflorum pubescens","Common Name","edible or poisonous?"
30,"Tinantia anomala","Common Name","edible or poisonous?"
31,"Mesembryanthemum crystallinum","Common Name","edible or poisonous?"
32,"Viscum album","Common Name","edible or poisonous?"
33,"Panax trifolius","Common Name","edible or poisonous?"
34,"Carpobrotus edulis","Common Name","edible or poisonous?"
35,"Fouquieria splendens","Common Name","edible or poisonous?"
36,"Atrichoseris platyphylla","Common Name","edible or poisonous?"
37,"Persicaria perfoliata","Common Name","edible or poisonous?"
38,"Rhinanthus minor","Common Name","edible or poisonous?"
39,"Encelia farinosa","Common Name","edible or poisonous?"
40,"Ibervillea lindheimeri","Common Name","edible or poisonous?"
41,"Rubus allegheniensis","Common Blackberry","edible fruit"
42,"Earina autumnalis","Common Name","edible or poisonous?"
43,"Castilleja purpurea","Common Name","edible or poisonous?"
44,"Phacelia crenulata","Common Name","edible or poisonous?"
45,"Cylindropuntia bigelovii","Teddy-bear Cholla","edible buds"
46,"Cylindropuntia echinocarpa","Silver Cholla","edible buds"
47,"Ficaria verna","Lesser Celandine","edible root"
48,"Amphiachyris dracunculoides","Common Name","edible or poisonous?"
49,"Cynara cardunculus","Common Name","edible or poisonous?"
50,"Leucophyllum frutescens","Common Name","edible or poisonous?"
51,"Pinus echinata","Common Name","edible or poisonous?"
52,"Kalmia latifolia","Common Name","edible or poisonous?"
53,"Pellaea andromedifolia","Common Name","edible or poisonous?"
54,"Potentilla anserina","Common Name","edible or poisonous?"
55,"Sonchus oleraceus","Common Name","edible or poisonous?"
56,"Dactylorhiza fuchsii","Common Name","edible or poisonous?"
57,"Viola bicolor","Common Name","edible or poisonous?"
58,"Corallorhiza mertensiana","Common Name","edible or poisonous?"
59,"Cicuta maculata","Spotted water hemlock","poisonous"
60,"Aplectrum hyemale","Common Name","edible or poisonous?"
61,"Cirsium scariosum","Meadow thistle","edible root"
62,"Corallorhiza maculata","Common Name","edible or poisonous?"
63,"Monotropa uniflora","Common Name","edible or poisonous?"
64,"Viburnum dentatum","Arrowwood viburnum","edible fruit"
65,"Stenosiphon linifolius","Common Name","edible or poisonous?"
66,"Melilotus officinalis","Common Name","edible or poisonous?"
67,"Echinocereus triglochidiatus","Common Name","edible or poisonous?"
68,"Echium candicans","Common Name","edible or poisonous?"
69,"Calypso bulbosa occidentalis","Common Name","edible or poisonous?"
70,"Quercus agrifolia","Coast Live Oak","edible acorns"
71,"Rosa palustris","Swamp Rose","edible fruit"
72,"Osmunda regalis","Common Name","edible or poisonous?"
73,"Iris missouriensis","Rocky Mountain Iris","Poisonous"
74,"Carex lupulina","Common Name","edible or poisonous?"
75,"Polypogon monspeliensis","Common Name","edible or poisonous?"
76,"Chelone glabra","Common Name","edible or poisonous?"
77,"Hibiscus moscheutos","Common Name","edible or poisonous?"
78,"Clitoria mariana","Common Name","edible or poisonous?"
79,"Herbertia lahue","Common Name","edible or poisonous?"
80,"Lupinus texensis","Texas bluebonnet","Poisonous"
81,"Tillandsia usneoides","Common Name","edible or poisonous?"
82,"Allotropa virgata","Common Name","edible or poisonous?"
83,"Lonicera maackii","Common Name","edible or poisonous?"
84,"Polystichum munitum","Common Name","edible or poisonous?"
85,"Pluchea odorata","Common Name","edible or poisonous?"
86,"Asplenium flaccidum","Hanging spleenwort","not edible"
87,"Rubus cissoides","Bush Lawyer","edible fruit"
88,"Coprosma foetidissima","Common Name","edible or poisonous?"
89,"Coprosma lucida","Common Name","edible or poisonous?"
90,"Gilia capitata","Common Name","edible or poisonous?"
91,"Astelia fragrans","Bush Lily","edible berries"
92,"Melicytus ramiflorus","Common Name","edible or poisonous?"
93,"Oxalis articulata","Common Name","edible or poisonous?"
94,"Olearia paniculata","Common Name","edible or poisonous?"
95,"Ilex verticillata","Common Name","edible or poisonous?"
96,"Viola adunca","Common Name","edible or poisonous?"
97,"Sambucus racemosa racemosa","Red Elderberry","edible fruit when cooked"
98,"Melothria pendula","Common Name","edible or poisonous?"
99,"Huperzia lucidula","Common Name","edible or poisonous?"
100,"Pedicularis densiflora","Common Name","edible or poisonous?"
101,"Alliaria petiolata","Garlic Mustard","Edible and Medicinal"
102,"Toxicoscordion fremontii","Common Star Lily","Poisonous"
103,"Athyrium filix-femina","Common Name","edible or poisonous?"
104,"Nuphar lutea","Yellow Water-lily","edible seeds"
105,"Sorbus aucuparia","Rowan Berry","edible berries"
106,"Fumaria capreolata","Common Name","edible or poisonous?"
107,"Platanus occidentalis","Common Name","edible or poisonous?"
108,"Sophora secundiflora","Common Name","edible or poisonous?"
109,"Brachyglottis repanda","Common Name","edible or poisonous?"
110,"Taxodium mucronatum","Common Name","edible or poisonous?"
111,"Veronica anagallis-aquatica","Common Name","edible or poisonous?"
112,"Apocynum cannabinum","Common Name","edible or poisonous?"
113,"Phoradendron leucarpum","Common Name","edible or poisonous?"
114,"Opuntia basilaris","Beavertail Cactus","edible fruits"
115,"Mimulus bigelovii","Common Name","edible or poisonous?"
116,"Marah fabacea","Common Name","edible or poisonous?"
117,"Bouvardia ternifolia","Common Name","edible or poisonous?"
118,"Gymnadenia conopsea","Common Name","edible or poisonous?"
119,"Ficinia spiralis","Common Name","edible or poisonous?"
120,"Juniperus californica","Common Name","edible or poisonous?"
121,"Melampodium leucanthum","Common Name","edible or poisonous?"
122,"Salvia farinacea","Mealy Sage","edible plant"
123,"Salsola tragus","Common Name","edible or poisonous?"
124,"Plumeria rubra","Common Name","edible or poisonous?"
125,"Clematis pitcheri","Common Name","edible or poisonous?"
126,"Baccharis salicifolia","Common Name","edible or poisonous?"
127,"Xanthium strumarium","Common Name","edible or poisonous?"
128,"Scutellaria drummondii","Common Name","edible or poisonous?"
129,"Centaurea melitensis","Common Name","edible or poisonous?"
130,"Desmodium paniculatum","Common Name","edible or poisonous?"
131,"Nuphar advena","Spatterdock","edible seeds"
132,"Paraserianthes lophantha","Common Name","edible or poisonous?"
133,"Ericameria nauseosa","Common Name","edible or poisonous?"
134,"Hypericum perforatum","Common Name","edible or poisonous?"
135,"Pyrola elliptica","Common Name","edible or poisonous?"
136,"Cyathea dealbata","Common Name","edible or poisonous?"
137,"Sabal palmetto","Common Name","edible or poisonous?"
138,"Hymenophyllum dilatatum","Common Name","edible or poisonous?"
139,"Ericameria linearifolia","Common Name","edible or poisonous?"
140,"Botrychium dissectum","Common Name","edible or poisonous?"
141,"Asplenium rhizophyllum","Walking fern","not edible"
142,"Cystopteris bulbifera","Common Name","edible or poisonous?"
143,"Dryopteris carthusiana","Common Name","edible or poisonous?"
144,"Dryopteris intermedia","Common Name","edible or poisonous?"
145,"Thelypteris palustris","Common Name","edible or poisonous?"
146,"Gymnocarpium dryopteris","Common Name","edible or poisonous?"
147,"Matteuccia struthiopteris","Common Name","edible or poisonous?"
148,"Artemisia californica","Common Name","edible or poisonous?"
149,"Onoclea sensibilis","Common Name","edible or poisonous?"
150,"Calopogon tuberosus","Common Name","edible or poisonous?"
151,"Lysimachia quadrifolia","Common Name","edible or poisonous?"
152,"Sarracenia alata","Common Name","edible or poisonous?"
153,"Lepidospartum squamatum","Common Name","edible or poisonous?"
154,"Baccharis pilularis","Common Name","edible or poisonous?"
155,"Rhododendron periclymenoides","Pinkster Flower","Poisonous"
156,"Cornus racemosa","Gray dogwood","not edible"
157,"Stachys palustris","Common Name","edible or poisonous?"
158,"Pistacia lentiscus","Common Name","edible or poisonous?"
159,"Malacothrix glabrata","Common Name","edible or poisonous?"
160,"Angelica hendersonii","Henderson's angelica","edible stalks"
161,"Heliotropium curassavicum","Common Name","edible or poisonous?"
162,"Calypso bulbosa","Common Name","edible or poisonous?"
163,"Actaea rubra","Baneberry","poisonous"
164,"Houstonia caerulea","Common Name","edible or poisonous?"
165,"Clematis lasiantha","Common Name","edible or poisonous?"
166,"Lespedeza cuneata","Common Name","edible or poisonous?"
167,"Descurainia pinnata","Western tansymustard","edible especially the seeds"
168,"Betula alleghaniensis","Swamp Birch","edible inner bark"
169,"Heterotheca grandiflora","Common Name","edible or poisonous?"
170,"Betula populifolia","Gray Birch","edible inner bark"
171,"Triodanis perfoliata","Common Name","edible or poisonous?"
172,"Sisymbrium irio","Common Name","edible or poisonous?"
173,"Stanleya pinnata","Common Name","edible or poisonous?"
174,"Thysanocarpus curvipes","Common Name","edible or poisonous?"
175,"Chamaecyparis thyoides","Common Name","edible or poisonous?"
176,"Lamium galeobdolon","Yellow archangel","edible plant"
177,"Trillium cuneatum","Common Name","edible or poisonous?"
178,"Malva arborea","Tree Mallow","edible or poisonous?"
179,"Trientalis borealis","Common Name","edible seeds"
180,"Sisyrinchium angustifolium","Common Name","edible or poisonous?"
181,"Sisyrinchium bellum","Common Name","edible or poisonous?"
182,"Quercus kelloggii","California Black Oak","edible acorns"
183,"Halosaccion glandiforme","Common Name","edible or poisonous?"
184,"Atriplex lentiformis","Common Name","edible or poisonous?"
185,"Chenopodium album","White Goosefoot","edible seeds"
186,"Paris quadrifolia","Common Name","edible or poisonous?"
187,"Dudleya lanceolata","Common Name","edible or poisonous?"
188,"Cucurbita foetidissima","Common Name","edible or poisonous?"
189,"Solanum chenopodioides","Whitetip nightshade","poisonous"
190,"Solanum americanum","American black nightshade","poisonous berries"
191,"Prosopis glandulosa","Common Name","edible or poisonous?"
192,"Frankenia salina","Common Name","edible or poisonous?"
193,"Cornus sericea","Red Osier dogwood","edible berries, not recommended"
194,"Mentha arvensis","Common Name","edible or poisonous?"
195,"Salvia leucophylla","Purple Sage","edible plant"
196,"Malva parviflora","Cheeseweed","edible plant"
197,"Tetragonia tetragonoides","Common Name","edible or poisonous?"
198,"Pittosporum crassifolium","Common Name","edible or poisonous?"
199,"Forestiera pubescens","Common Name","edible or poisonous?"
200,"Argemone munita","Common Name","edible or poisonous?"
201,"Paeonia californica","Common Name","edible or poisonous?"
202,"Dendromecon rigida","Common Name","edible or poisonous?"
203,"Platanus racemosa","Common Name","edible or poisonous?"
204,"Castilleja affinis","Common Name","edible or poisonous?"
205,"Iris cristata","Crested Iris","Poisonous"
206,"Aralia spinosa","Common Name","edible or poisonous?"
207,"Pittosporum tenuifolium","Common Name","edible or poisonous?"
208,"Viola sororia","Common Name","edible or poisonous?"
209,"Viola pubescens","Common Name","edible or poisonous?"
210,"Valerianella radiata","Common Name","edible or poisonous?"
211,"Quercus robur","English Oak","edible acorns"
212,"Lophophora williamsii","Common Name","edible or poisonous?"
213,"Prunus virginiana","Bitter-berry","edible berry"
214,"Phormium tenax","Common Name","edible or poisonous?"
215,"Euphorbia albomarginata","Rattlesnake weed","poisonous plant"
216,"Ornithogalum umbellatum","Common Name","edible or poisonous?"
217,"Punica granatum","Common Name","edible or poisonous?"
218,"Olea europaea","Common Name","edible or poisonous?"
219,"Ruscus aculeatus","Common Name","edible or poisonous?"
220,"Datura wrightii","Sacred datura","poisonous"
221,"Justicia californica","Common Name","edible or poisonous?"
